Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase,Phase_inshort
AlB12,2 ,Al B,1 12,0.8671,0.1881,2239.19,376.93,0.0000,0.0000,0.2712,2.0069,0.1146,3.0000,0.0000,"301,230,769,231",65.0185,IM,IM
B4Co,2 ,B Co ,4 1,0.9062,0.1902,2232,232.00,-15.3600,3.4560,0.5004,2.0080,0.0640,4.2000,2.4000,"292,000,000,000",56.0000,IM,IM
AlB2,2 ,Al B,1 2,1.0240,0.2817,1876.49,666.82,0.0000,0.0000,0.6365,1.8967,0.2027,3.0000,0.0000,"238,666,666,667",115.0227,IM,IM
B6Co2Nb2,3 ,B Co Nb,6 2 2,1.0280,0.2538,2312.4,313.58,-41.4400,8.1388,0.9503,1.9200,0.1716,4.6000,2.3324,"262,000,000,000",71.1056,IM,IM
HfB2,2 ,Hf B,1 2,1.0727,0.3331,2400.666667,74.48,-58.6667,3.4570,0.6365,1.7933,0.3488,3.3333,0.4714,"250,000,000,000",98.9949,IM,IM
B2NiTa,3 ,B Ni Ta,2 1 1,1.0790,0.2475,2428.5,558.09,-46.2500,9.3802,1.0397,1.8725,0.2215,5.2500,2.8614,"255,000,000,000",65.3835,IM,IM
B2CoNb,3 ,B Co Nb,2 1 1,1.0800,0.2477,2303.5,350.03,-45.2500,9.5731,1.0397,1.8900,0.1797,5.0000,2.4495,"247,500,000,000",72.5862,IM,IM
B4Fe4Nd,3 ,B Fe Nd,4 4 1,1.0982,0.2512,1992.222222,353.58,-30.0247,8.2773,0.9650,1.8467,0.2687,5.2222,2.4845,"221,333,333,333",97.3699,IM,IM
BNi2,2 ,B Ni,1 2,1.1040,0.1819,1934.666667,292.27,-21.3333,1.2571,0.6365,1.9533,0.0613,7.6667,3.2998,"226,666,666,667",65.9966,IM,IM
BCr2,2 ,B Cr,1 2,1.1060,0.1829,2236,79.20,-27.5556,1.6237,0.6365,1.7867,0.1791,5.0000,1.4142,"213,333,333,333",75.4247,IM,IM
BCo2,2 ,B Co ,1 2,1.1073,0.1835,1961.333333,273.41,-21.3333,1.2571,0.6365,1.9333,0.0754,7.0000,2.8284,"226,666,666,667",65.9966,IM,IM
CoFeSiB,4 ,Co Fe Si B,1 1 1 1,1.1163,0.1570,1903.5,260.47,-34.5000,10.4208,1.3863,1.9125,0.0779,6.0000,2.5495,"192,500,000,000",79.8044,AM,AM
B2Mo2Ni,3 ,B Mo Ni,2 2 1,1.1224,0.2233,2443.2,433.52,-31.6800,7.3694,1.0549,2.0620,0.0930,5.6000,2.5768,"256,000,000,000",55.3534,IM,IM
Co43Fe20Ta5.5B31.5,4 ,Co Fe Ta B,43 20 5.5 31.5,1.1231,0.1866,2043.01,397.63,-26.5718,8.4745,1.2082,1.8995,0.1270,6.6900,2.6616,"223,200,000,000",65.9527,AM,AM
B2CoMo2,3 ,B Co Mo,2 1 2,1.1234,0.2235,2451.2,420.42,-31.0400,7.7210,1.0549,2.0560,0.1031,5.4000,2.2450,"256,000,000,000",55.3534,IM,IM
B2CoW2,3 ,B Co W,2 1 2,1.1250,0.2245,2770.8,783.76,-27.8400,7.7723,1.0549,2.1360,0.1920,5.4000,2.2450,"288,000,000,000",54.1849,IM,IM
