FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: HV
Al0.25 Co1 Fe1 Ni1,FCC,CAST,FCC,138
Al0.5 Co1 Fe1 Ni1,FCC+BCC,CAST,other,212
Al0.75 Co1 Fe1 Ni1,FCC+BCC,CAST,other,385
Al1 Co1 Fe1 Ni1,BCC,CAST,BCC,456
Co1 Fe1 Ni1,FCC,CAST,FCC,125
Co1 Fe1 Ni1,FCC,CAST,FCC,125
Co1 Fe1 Ni1 Si0.25,FCC,CAST,FCC,149
Co1 Fe1 Ni1 Si0.5,FCC+Sec.,CAST,other,287
Co1 Fe1 Ni1 Si0.75,FCC+Sec.,CAST,other,570
Co1 Cr1 Fe1 Nb0.103 Ni1,FCC+Sec.,CAST,other,
Co1 Cr1 Fe1 Nb0.155 Ni1,FCC+Sec.,CAST,other,
Co1 Cr1 Fe1 Nb0.206 Ni1,FCC+Sec.,CAST,other,
Co1 Cr1 Fe1 Nb0.309 Ni1,FCC+Sec.,CAST,other,
Co1 Cr1 Fe1 Nb0.412 Ni1,FCC+Sec.,CAST,other,
Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,
Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,CAST,other,425
Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,B2+Sec.,CAST,other,655
Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,BCC+B2,CAST,other,605
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,CAST,other,715
Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,CAST,other,210
Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,CAST,other,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,BCC+BCC,CAST,other,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,BCC+BCC,CAST,other,643
Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,CAST,other,
Co1 Cr1 Fe1 Ni1 Ti1,FCC,CAST,FCC,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,CAST,BCC,402
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,CAST,BCC,487
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,432
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,BCC,CAST,BCC,506
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,395
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,342
Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,286
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,296
Cr1 Cu1 Fe1 Mo1 Ni1,FCC,CAST,FCC,263
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,
Al1 C0.1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,
Al1 C0.2 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,
Al1 C0.3 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,
Al1 C0.4 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,
Al1 C0.5 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC+Sec.,CAST,other,
Al1 C1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,BCC,CAST,BCC,
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,BCC+Sec.,CAST,other,
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,BCC+Sec.,CAST,other,
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,BCC+Sec.,CAST,other,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,BCC,CAST,BCC,569
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,BCC+Sec.,CAST,other,668
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,BCC+Sec.,CAST,other,747
Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,BCC+Sec.,CAST,other,
Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,520
Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,270
Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,801
Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,BCC+Sec.,CAST,other,741
Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,FCC+BCC+Sec.,CAST,other,586
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,796
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,755
